id,id_viaje,moneda,tipo_cambio
A014148,V123,Dolar Americano,938.78
A013687,V119,Euro,1049.02
A013868-1,V122,Yen Japones,63334
A012348,V106,Euro,912.85
A011002,V100,Euro,932.38
A015636,V143,Yen Japones,67595
A014208,V116,Yen Japones,61354
A013711,V124,Euro,1049.02
A014101,V115,Dolar Americano,938.78
A013158,V113,Euro,1002.57
A015682,V143,Yen Japones,68408
A005703,V064,Yen Japones,66683
A013241,V123,Dolar Americano,909.5
A010180,V090,Euro,947.26
A013090,V113,Euro,966.5
A011062,V100,Euro,907.32
A014118,V121,Dolar Americano,938.78
A014282,V129,Yen Japones,61354
A014121,V122,Yen Japones,61354
A010196,V093,Euro,947.26
A013702,V120,Dolar Americano,974.2
A012937,V115,Dolar Americano,884.92
A003884,V047,Dolar Americano,640.27
A014160,V128,Euro,1009.94
A013868,V122,Yen Japones,63334
A013076,V113,Euro,954.58
A001436,V013,Dolar Americano,660.25
A013708,V122,Yen Japones,64274
A014303,V129,Yen Japones,59461
A014008,V132,Euro,1014.49
A013350,V121,Dolar Americano,953.4
A003030,V033,Yen Japones,55903
A013656,V114,Euro,1059.13
A013643,V114,Euro,1059.13
A013796,V116,Yen Japones,62263
A013514,V124,Euro,1050.5
A013789,V116,Yen Japones,61984
A013597,V131,Dolar Americano,944.13
A013580,V128,Euro,1043.91
A006105,V074,Euro,898.32
A014009,V132,Euro,1014.49
A001422,V013,Dolar Americano,660.25
A002001,V021,Euro,710.93
A011098,V100,Euro,895.62
A013895,V122,Yen Japones,63314
A005594,V064,Yen Japones,67143
A013710,V122,Yen Japones,64274
A013953,V124,Euro,1016.86
A013827-1,V119,Euro,1026.29
A014264,V123,Dolar Americano,938.78
A014170,V132,Euro,1009.94
A010504,V095,Euro,944.84
A004851,V052,Dolar Americano,667.03
A013346,V129,Yen Japones,64116
A014287,V132,Euro,1009.94
A013971,V127,Yen Japones,61453
A015659,V143,Yen Japones,67595
A013882-1,V122,Yen Japones,63334
A013574,V125,Dolar Americano,955.61
A010507,V095,Euro,947.2
A014224,V119,Euro,1009.94
A003897,V047,Dolar Americano,638.14
A011020,V100,Euro,943.05
A011055,V100,Euro,912.63
A011029,V100,Euro,923.31
A001074,V010,Euro,775.58
A013688,V116,Yen Japones,64274
A011061,V100,Euro,907.32
A006450,V077,Dolar Americano,811.3
A013557,V121,Dolar Americano,955.61
A001437,V013,Dolar Americano,660.25
A010170,V089,Yen Japones,68929
A013155,V113,Euro,973.31
A006457,V077,Dolar Americano,811.3
A005409,V062,Dolar Americano,677.15
A003021,V032,Dolar Americano,625.92
A015678,V143,Yen Japones,67762
A014007,V132,Euro,1018
A003147,V039,Euro,771.25
A008566,V084,Dolar Americano,784.68
A013843,V120,Dolar Americano,964.38
A007222,V080,Yen Japones,72963
A011063,V100,Euro,907.32
A014011,V132,Euro,1014.49
A013630,V114,Euro,1061.55
A009499,V086,Euro,886.13
A013526,V119,Euro,1055.89
A013852-1,V120,Dolar Americano,978.2
A013807,V118,Dolar Americano,954.7
A013818,V119,Euro,1026.29
A009523,V086,Euro,882.76
A003770,V046,Yen Japones,57111
A013498,V130,Euro,1050.5
A013791-1,V116,Yen Japones,61984
A012334,V106,Euro,915.44
A006286,V074,Euro,842.1
A013975-1,V128,Euro,1022.4
A013891-1,V122,Yen Japones,63314
A013135,V113,Euro,971.81
A004850,V052,Dolar Americano,667.03
A000214,V002,Dolar Americano,678
A013598,V131,Dolar Americano,944.13
A014163,V131,Dolar Americano,938.78
A013945,V123,Dolar Americano,954.44
A014082,V133,Euro,1022.72
A006275,V074,Euro,835.55
A003243,V042,Dolar Americano,614.65
A013422,V116,Yen Japones,64091
A013661,V114,Euro,1056.41
A002009,V021,Euro,710.93
A014177,V132,Euro,1009.94
A005643,V064,Yen Japones,66492
A009460,V086,Euro,895.19
A011993,V103,Euro,846.33
A000212,V002,Dolar Americano,678
A003139,V037,Euro,771.25
A005711,V064,Yen Japones,66683
A014223,V119,Euro,1009.94
A013120,V113,Euro,983.81
A003920,V047,Dolar Americano,638.14
A014728,V139,Euro,1017.4
A014625,V136,Euro,1030.95
A013639,V114,Euro,1059.13
A006451,V077,Dolar Americano,811.3
A010192,V092,Yen Japones,68929
A013823-1,V119,Euro,1026.29
A015478,V143,Yen Japones,63125
A014686,V138,Euro,1020.26
A013947,V123,Dolar Americano,954.44
A013761,V115,Dolar Americano,944
A013712,V124,Euro,1049.02
A013883-1,V122,Yen Japones,63334
A011913,V101,Euro,855.45
A001451,V013,Dolar Americano,660.25
A005094,V057,Yen Japones,60896
A007229,V080,Yen Japones,72963
A001442,V013,Dolar Americano,660.25
A010537,V097,Euro,922.55
A003772,V046,Yen Japones,57111
A011921,V101,Euro,855.45
A008758,V084,Dolar Americano,813.2
A014023,V132,Euro,1014.49
A006076,V071,Dolar Americano,774.3
A005404,V062,Dolar Americano,677.15
A004866,V052,Dolar Americano,678.23
A008568,V084,Dolar Americano,784.68
A002016,V021,Euro,710.93
A006282,V074,Euro,835.55
A014149,V123,Dolar Americano,938.78
A007236,V080,Yen Japones,73981
A001706,V018,Euro,698.95
A001433,V013,Dolar Americano,660.25
A004640,V052,Dolar Americano,663.53
A014143,V123,Dolar Americano,938.78
A009509,V086,Euro,886.13
A009502,V086,Euro,886.13
A015650,V143,Yen Japones,67595
A013552,V120,Dolar Americano,966.4
A013549,V120,Dolar Americano,966.4
A013889,V122,Yen Japones,63314
A008633,V084,Dolar Americano,810.9
A001412,V013,Dolar Americano,660.25
A003784,V046,Yen Japones,57111
A013912,V122,Yen Japones,61716
A013136,V113,Euro,971.81
A009498,V086,Euro,886.13
A014270,V123,Dolar Americano,938.78
A009519,V086,Euro,882.76
A005259,V060,Yen Japones,64008
A003020,V032,Dolar Americano,625.92
A013149,V113,Euro,973.31
A014255,V122,Yen Japones,61354
A005638,V064,Yen Japones,66492
A006283,V074,Euro,835.55
A009506,V086,Euro,886.13
A015628,V143,Yen Japones,66340
A013074,V113,Euro,954.58
A011015,V100,Euro,936.78
A001421,V013,Dolar Americano,660.25
A014232,V120,Dolar Americano,938.78
A013896,V122,Yen Japones,63314
A004907,V052,Dolar Americano,679.38
A013792-1,V116,Yen Japones,61984
A014128,V122,Yen Japones,61354
A008716,V083,Yen Japones,71769
A013972,V127,Yen Japones,61453
A013768,V115,Dolar Americano,940.92
A013352,V119,Euro,1024.05
A003799,V047,Dolar Americano,631.29
A009465,V086,Euro,895.19
A013992,V129,Yen Japones,61126
A001084,V010,Euro,775.58
A014145,V123,Dolar Americano,938.78
A014100,V115,Dolar Americano,938.78
A008723,V083,Yen Japones,71769
A005936,V068,Dolar Americano,723.8
A005831,V066,Euro,785.21
A013782,V116,Yen Japones,61984
A013885,V122,Yen Japones,63314
A001728,V021,Euro,700.58
A005408,V062,Dolar Americano,677.15
A013999,V131,Dolar Americano,948.83
A003785,V047,Dolar Americano,629.22
A009475,V086,Euro,894.03
A000216,V002,Dolar Americano,678
A013903-1,V122,Yen Japones,62440
A003025,V032,Dolar Americano,625.92
A013948,V123,Dolar Americano,954.44
A005641,V064,Yen Japones,66492
A013651,V114,Euro,1059.13
A005941,V068,Dolar Americano,723.8
A011990,V103,Euro,846.33
A008717,V083,Yen Japones,71769
A013884,V122,Yen Japones,63334
A006276,V074,Euro,835.55
A014204,V116,Yen Japones,61354
A013218,V123,Dolar Americano,909.5
A014272,V123,Dolar Americano,938.78
A013721,V131,Dolar Americano,974.2
A003769,V046,Yen Japones,57111
A004391,V052,Dolar Americano,673.46
A010181,V090,Euro,947.26
A011920,V101,Euro,855.45
A013627,V114,Euro,1061.55
A004852,V052,Dolar Americano,667.03
A014221,V119,Euro,1009.94
A007227,V080,Yen Japones,72963
A013961,V125,Dolar Americano,954.44
A009508,V086,Euro,886.13
A014644,V138,Euro,1033.8
A013894,V122,Yen Japones,63314
A015473,V143,Yen Japones,63008
A013914,V122,Yen Japones,61716
A006291,V075,Dolar Americano,751.5
A013638,V114,Euro,1059.13
A003751,V046,Yen Japones,57363
A013864,V121,Dolar Americano,979.9
A015664,V143,Yen Japones,67562
A013909,V122,Yen Japones,61716
A013714,V125,Dolar Americano,974.2
A015654,V143,Yen Japones,67595
A001413,V013,Dolar Americano,660.25
A013930-1,V123,Dolar Americano,954.44
A006268,V074,Euro,827.1
A013939,V123,Dolar Americano,954.44
A013645,V114,Euro,1059.13
A013724,V122,Yen Japones,64274
A013831,V119,Euro,1026.29
A014136,V122,Yen Japones,61354
A013994,V131,Dolar Americano,948.83
A007216,V080,Yen Japones,72963
A006455,V077,Dolar Americano,811.3
A001388,V011,Dolar Americano,674.34
A013848,V120,Dolar Americano,964.38
A011054,V100,Euro,915.17
A013959,V125,Dolar Americano,954.44
A008632,V084,Dolar Americano,810.9
A013795-1,V116,Yen Japones,62263
A014130,V122,Yen Japones,61354
A013694,V126,Yen Japones,64274
A009463,V086,Euro,895.19
A006261,V075,Dolar Americano,751.34
A013906-1,V122,Yen Japones,61716
A013659,V114,Euro,1059.13
A013775,V116,Yen Japones,61984
A013626,V114,Euro,1061.55
A013473,V114,Euro,1045.03
A004847,V052,Dolar Americano,667.03
A002014,V021,Euro,710.93
A011059,V100,Euro,907.32
A014263,V123,Dolar Americano,938.78
A009483,V086,Euro,896.6
A004893,V052,Dolar Americano,678.23
A013849,V120,Dolar Americano,964.38
A006270,V074,Euro,827.1
A013767,V115,Dolar Americano,940.92
A013975,V128,Euro,1022.4
A011035,V100,Euro,921.36
A013937,V123,Dolar Americano,954.44
A005262,V060,Yen Japones,64008
A015649,V143,Yen Japones,67595
A009456,V086,Euro,895.19
A011904,V101,Euro,868.24
A005824,V066,Euro,785.21
A010194,V093,Euro,947.26
A013867,V122,Yen Japones,63334
A013879-1,V122,Yen Japones,63334
A005401,V062,Dolar Americano,677.15
A013776-1,V116,Yen Japones,61984
A001415,V013,Dolar Americano,660.25
A011004,V100,Euro,936.78
A003911,V047,Dolar Americano,638.14
A013976,V128,Euro,1022.4
A003900,V047,Dolar Americano,638.14
A005258,V060,Yen Japones,64008
A014138,V123,Dolar Americano,938.78
A015477,V143,Yen Japones,63125
A013860,V121,Dolar Americano,978.2
A003146,V038,Euro,771.25
A013956,V124,Euro,1016.86
A014156,V127,Yen Japones,61354
A013861,V121,Dolar Americano,978.2
A011101,V100,Euro,895.62
A011877,V101,Euro,854.57
A013718,V129,Yen Japones,64274
A000982,V009,Dolar Americano,691.26
A013641,V114,Euro,1059.13
A009517,V086,Euro,882.76
A003896,V047,Dolar Americano,638.14
A003198,V047,Dolar Americano,619.6
A014189,V116,Yen Japones,61354
A013764,V115,Dolar Americano,940.92
A013608,V122,Yen Japones,63162
A004880,V052,Dolar Americano,678.23
A013765-1,V115,Dolar Americano,940.92
A015694,V143,Yen Japones,67763
A014252,V122,Yen Japones,61354
A006271,V074,Euro,835.55
A013913,V122,Yen Japones,61716
A005256,V060,Yen Japones,64008
A011992,V103,Euro,846.33
A008318,V082,Dolar Americano,732.6
A009477,V086,Euro,894.03
A013524,V119,Euro,1055.89
A010814,V099,Euro,919.7
A013208,V116,Yen Japones,62651
A006298,V075,Dolar Americano,751.5
A014178,V133,Euro,1009.94
A005696,V064,Yen Japones,66683
A005704,V064,Yen Japones,66683
A014179,V133,Euro,1009.94
A011798,V101,Euro,888.61
A011025,V100,Euro,939.88
A014002,V131,Dolar Americano,948.83
A013114,V113,Euro,983.81
A001031,V013,Dolar Americano,687.7
A010546,V097,Euro,928.62
A011073,V100,Euro,909.83
A009468,V086,Euro,895.19
A011082,V100,Euro,895.67
A004871,V052,Dolar Americano,678.23
A014245,V122,Yen Japones,61354
A013758,V115,Dolar Americano,948.15
A003027,V033,Yen Japones,55903
A014749,V139,Euro,1017.4
A014750,V139,Euro,1017.4
A013930,V123,Dolar Americano,954.44
A015458,V143,Yen Japones,62537
A014168,V131,Dolar Americano,938.78
A013805,V118,Dolar Americano,954.7
A013077,V113,Euro,954.58
A004884,V052,Dolar Americano,678.23
A003777,V046,Yen Japones,57111
A014129,V122,Yen Japones,61354
A013778,V116,Yen Japones,61984
A014226,V119,Euro,1009.94
A010178,V090,Euro,947.26
A013815-1,V119,Euro,1026.29
A013099,V113,Euro,966.5
A014615,V134,Yen Japones,59767
A014024,V132,Euro,1014.49
A013213,V121,Dolar Americano,910.26
A013853,V123,Dolar Americano,978.2
A001449,V013,Dolar Americano,660.25
A006293,V075,Dolar Americano,751.5
A011021,V100,Euro,943.05
A003880,V047,Dolar Americano,640.27
A013716,V128,Euro,1049.02
A005399,V062,Dolar Americano,677.15
A014150,V124,Euro,1009.94
A013780,V116,Yen Japones,61984
A013151,V113,Euro,973.31
A013786,V116,Yen Japones,61984
A013355,V123,Dolar Americano,953.4
A014281,V128,Euro,1009.94
A003244,V042,Dolar Americano,614.65
A013592,V129,Yen Japones,63892
A014036,V133,Euro,1014.49
A013977,V128,Euro,1022.4
A004865,V052,Dolar Americano,678.23
A003910,V047,Dolar Americano,638.14
A001435,V013,Dolar Americano,660.25
A014613,V134,Yen Japones,59248
A010541,V097,Euro,929.81
A004858,V052,Dolar Americano,667.03
A013475,V122,Yen Japones,64232
A005830,V066,Euro,785.21
A011041,V100,Euro,931.43
A004877,V052,Dolar Americano,678.23
A001081,V010,Euro,775.58
A011080,V100,Euro,895.67
A013847,V120,Dolar Americano,964.38
A013107,V113,Euro,982.04
A013609,V122,Yen Japones,63162
A005949,V070,Dolar Americano,723.73
A005955,V070,Dolar Americano,723.73
A011934,V101,Euro,863.26
A003750,V046,Yen Japones,57363
A008750,V084,Dolar Americano,813.2
A002006,V021,Euro,710.93
A001994,V021,Euro,710.93
A003026,V032,Dolar Americano,625.92
A006301,V075,Dolar Americano,751.5
A007217,V080,Yen Japones,72963
A003138,V038,Euro,771.25
A012938,V115,Dolar Americano,884.92
A004894,V052,Dolar Americano,678.23
A011996,V103,Euro,867.23
A013658,V114,Euro,1059.13
A009518,V086,Euro,882.76
A011013,V100,Euro,936.78
A014180,V133,Euro,1009.94
A014077,V133,Euro,1022.72
A008635,V084,Dolar Americano,810.9
A015671,V143,Yen Japones,67562
A014234,V120,Dolar Americano,938.78
A011898,V101,Euro,864.35
A014165,V131,Dolar Americano,938.78
A013775-1,V116,Yen Japones,61984
A010999,V100,Euro,932.38
A012470,V114,Euro,946.04
A011892,V101,Euro,861.83
A011003,V100,Euro,932.38
A013846,V120,Dolar Americano,964.38
A014029,V133,Euro,1014.49
A014739,V139,Euro,1017.4
A014738,V139,Euro,1017.4
A014230,V119,Euro,1009.94
A014639,V138,Euro,1033.8
A014215,V118,Dolar Americano,938.78
A009476,V086,Euro,894.03
A014249,V122,Yen Japones,61354
A014036-1,V133,Euro,1014.49
A008754,V084,Dolar Americano,813.2
A013207,V116,Yen Japones,62651
A013773,V116,Yen Japones,61984
A011896,V101,Euro,864.35
A007215,V080,Yen Japones,72963
A008312,V082,Dolar Americano,732.6
A006230,V073,Dolar Americano,756.35
A013932-1,V123,Dolar Americano,954.44
A013931-1,V123,Dolar Americano,954.44
A006281,V074,Euro,835.55
A004903,V052,Dolar Americano,679.38
A012594,V108,Euro,944.61
A014724,V139,Euro,1017.4
A006284,V074,Euro,835.55
A001411,V013,Dolar Americano,660.25
A013349,V122,Yen Japones,64116
A013932,V123,Dolar Americano,954.44
A003142,V038,Euro,771.25
A014111,V120,Dolar Americano,938.78
A003906,V047,Dolar Americano,638.14
A013949,V123,Dolar Americano,954.44
A011077,V100,Euro,906.17
A002007,V021,Euro,710.93
A014736,V139,Euro,1017.4
A013085,V113,Euro,945.58
A008634,V084,Dolar Americano,810.9
A014241,V122,Yen Japones,61354
A010845,V099,Euro,970.32
A013808-1,V118,Dolar Americano,954.7
A013420,V119,Euro,1038.71
A005715,V064,Yen Japones,66683
A003921,V047,Dolar Americano,638.14
A013594,V131,Dolar Americano,944.13
A011895,V101,Euro,864.35
A013211,V120,Dolar Americano,910.26
A013703,V120,Dolar Americano,974.2
A009526,V086,Euro,882.76
A014228,V119,Euro,1009.94
A012762,V110,Euro,987.32
A014174,V132,Euro,1009.94
A013715,V125,Dolar Americano,974.2
A004861,V052,Dolar Americano,678.23
A005644,V064,Yen Japones,66492
A015641,V143,Yen Japones,67595
A014740,V139,Euro,1017.4
A013800,V116,Yen Japones,62263
A004886,V052,Dolar Americano,678.23
A013214,V121,Dolar Americano,910.26
A010175,V089,Yen Japones,68929
A001408,V013,Dolar Americano,660.25
A004869,V052,Dolar Americano,678.23
A004899,V052,Dolar Americano,679.38
A001389,V011,Dolar Americano,674.34
A013888,V122,Yen Japones,63314
A011906,V101,Euro,868.24
A014083,V133,Euro,1022.72
A013573,V125,Dolar Americano,955.61
A010164,V089,Yen Japones,68929
A013883,V122,Yen Japones,63334
A013707,V122,Yen Japones,64274
A004879,V052,Dolar Americano,678.23
A013906,V122,Yen Japones,61716
A006292,V075,Dolar Americano,751.5
A013108,V113,Euro,982.04
A013904,V122,Yen Japones,62440
A013589,V125,Dolar Americano,944.13
A008674,V084,Dolar Americano,814.83
A005950,V070,Dolar Americano,723.73
A004873,V052,Dolar Americano,678.23
A015663,V143,Yen Japones,67562
A013829,V119,Euro,1026.29
A010848,V099,Euro,964.34
A009515,V086,Euro,882.76
A009481,V086,Euro,896.6
A008737,V084,Dolar Americano,813.2
A014225,V119,Euro,1009.94
A000967,V013,Dolar Americano,664.15
A011918,V101,Euro,855.45
A011027,V100,Euro,939.88
A013655,V114,Euro,1059.13
A013491,V115,Dolar Americano,964.32
A013705,V121,Dolar Americano,974.2
A014643,V138,Euro,1033.8
A013790,V116,Yen Japones,61984
A013555,V120,Dolar Americano,955.61
A000283,V003,Dolar Americano,692.2
A013842,V120,Dolar Americano,964.38
A013926,V123,Dolar Americano,954.44
A005943,V068,Dolar Americano,723.8
A015658,V143,Yen Japones,67595
A013642,V114,Euro,1059.13
A011060,V100,Euro,907.32
A004882,V052,Dolar Americano,678.23
A000967-1,V013,Dolar Americano,664.15
A011901,V101,Euro,864.35
A014236,V120,Dolar Americano,938.78
A015626,V143,Yen Japones,66340
A013215,V122,Yen Japones,62754
A014648,V138,Euro,1033.8
A013118,V113,Euro,983.81
A011905,V101,Euro,868.24
A000264,V003,Dolar Americano,691.07
A002481,V024,Euro,754.23
A013568,V122,Yen Japones,64704
A014742,V139,Euro,1017.4
A013985,V128,Euro,1022.4
A013902,V122,Yen Japones,62440
A010179,V090,Euro,947.26
A012243,V108,Euro,913.54
A006272,V074,Euro,835.55
A004896,V052,Dolar Americano,678.23
A003302,V047,Dolar Americano,606.54
A014646,V138,Euro,1033.8
A014158,V128,Euro,1009.94
A013095,V113,Euro,966.5
A013723,V132,Euro,1049.02
A010843,V099,Euro,970.32
A014137,V122,Yen Japones,61354
A014117,V121,Dolar Americano,938.78
A013787-1,V116,Yen Japones,61984
A014112,V120,Dolar Americano,938.78
A005937,V068,Dolar Americano,723.8
A001450,V013,Dolar Americano,660.25
A014209,V118,Dolar Americano,938.78
A013792,V116,Yen Japones,61984
A013822,V119,Euro,1026.29
A014175,V132,Euro,1009.94
A001984,V021,Euro,710.93
A014125,V122,Yen Japones,61354
A009514,V086,Euro,882.76
A013825-1,V119,Euro,1026.29
A010195,V093,Euro,947.26
A000215,V002,Dolar Americano,678
A013600,V132,Euro,1033.35
A003915,V047,Dolar Americano,638.14
A013990,V129,Yen Japones,61126
A009413,V086,Euro,897.18
A013835,V119,Euro,1026.29
A014153,V125,Dolar Americano,938.78
A014134,V122,Yen Japones,61354
A013837,V119,Euro,1026.29
A009482,V086,Euro,896.6
A014146,V123,Dolar Americano,938.78
A001990,V021,Euro,710.93
A014650,V138,Euro,1033.8
A014640,V138,Euro,1033.8
A011927,V101,Euro,861.48
A015681,V143,Yen Japones,68408
A013648,V114,Euro,1059.13
A011010,V100,Euro,936.78
A011938,V101,Euro,863.26
A008720,V083,Yen Japones,71769
A001995,V021,Euro,710.93
A013781,V116,Yen Japones,61984
A013634,V114,Euro,1059.44
A013144,V113,Euro,973.31
A013221,V129,Yen Japones,62754
A013830,V119,Euro,1026.29
A003883,V047,Dolar Americano,640.27
A011886,V101,Euro,857.63
A013778-1,V116,Yen Japones,61984
A013576,V125,Dolar Americano,955.61
A011096,V100,Euro,895.09
A005820,V066,Euro,785.21
A014240,V121,Dolar Americano,938.78
A013089,V113,Euro,953.47
A008753,V084,Dolar Americano,813.2
A001986,V021,Euro,710.93
A005097,V057,Yen Japones,60896
A013697,V119,Euro,1049.02
A013006,V110,Euro,934.48
A014035,V133,Euro,1014.49
A013097,V113,Euro,966.5
A014217,V119,Euro,1009.94
A013803,V117,Euro,1023.82
A013867-1,V122,Yen Japones,63334
A013353,V128,Euro,1024.05
A015455,V143,Yen Japones,62537
A011043,V100,Euro,922.74
A014127,V122,Yen Japones,61354
A014197,V116,Yen Japones,61354
A005945,V068,Dolar Americano,723.8
A013888-1,V122,Yen Japones,63314
A013786-1,V116,Yen Japones,61984
A011911,V101,Euro,868.24
A013820,V119,Euro,1026.29
A013970-1,V127,Yen Japones,61453
A008714,V083,Yen Japones,71769
A011930,V101,Euro,861.48
A011899,V101,Euro,864.35
A007144,V080,Yen Japones,72587
A011075,V100,Euro,906.17
A013837-1,V119,Euro,1026.29
A004883,V052,Dolar Americano,678.23
A003912,V047,Dolar Americano,638.14
A008567,V084,Dolar Americano,784.68
A013969-1,V127,Yen Japones,61453
A015685,V143,Yen Japones,68408
A000829,V008,Dolar Americano,680.45
A013692,V130,Euro,1049.02
A005718,V064,Yen Japones,66683
A010186,V091,Dolar Americano,944.05
A001445,V013,Dolar Americano,660.25
A014729,V139,Euro,1017.4
A011014,V100,Euro,936.78
A014032,V133,Euro,1014.49
A005818,V066,Euro,785.21
A014151,V124,Euro,1009.94
A013159,V113,Euro,1002.57
A003774,V046,Yen Japones,57111
A002011,V021,Euro,710.93
A000211,V002,Dolar Americano,678
A013134,V113,Euro,971.81
A013595,V131,Dolar Americano,944.13
A013234,V129,Yen Japones,62754
A006288,V075,Dolar Americano,752.08
A005592,V064,Yen Japones,67143
A011881,V101,Euro,854.57
A001392,V011,Dolar Americano,674.34
A014283,V129,Yen Japones,61354
A014084,V133,Euro,1022.72
A014027,V133,Euro,1014.49
A014110,V119,Euro,1009.94
A014244,V122,Yen Japones,61354
